"id","key","value"
"returnloop","projectName","ReturnLoop"
"returnloop","projectType","Interview Story"
"returnloop","promiseLine","ReturnLoop connects a ready package with a driver already passing by, so the errand disappears."
"returnloop","metaRole","Lead UX Designer"
"returnloop","metaTimeline","2 Months (Winter 2025)"
"returnloop","metaTeam","[Team TBD]"
"returnloop","metaTools","[Tools TBD]"
"returnloop","metaPlatform","[Platform TBD]"
"returnloop","s1_title","About Project"
"returnloop","s1_body","Returning something online should take five minutes; in reality it takes a trip most people never find time for. ReturnLoop connects a ready package with a driver already passing by, so the errand disappears."
"returnloop","s2_title","The Return I Never Made"
"returnloop","s2_body","The package sat by the door until the window closed; friends had the same story — not ""I don't want to return things"" but ""I meant to, and then I didn't."""
"returnloop","s3_title","Research"
"returnloop","s3_body1","Is the problem that people don't know where to return things, or that the trip never fits a real day and never feels safe to hand off?"
"returnloop","s3_body2","8 semi-structured interviews, ages 24–65, plus competitive review of Uber Return a Package, DoorDash Package Pickup, USPS/UPS/FedEx/Amazon."
"returnloop","s3_insight1","The return window is the real villain."
"returnloop","s3_insight2","""If I need to print a label, I give up."" — Alex"
"returnloop","s3_insight3","A failed drop-off trip kills momentum."
"returnloop","s3_insight4","Trust came up more than price did."
"returnloop","s3_persona_name","Margaret, 65"
"returnloop","s3_persona_desc","Recruited to test whether the problem differs for a less app-fluent user; for younger participants the barrier was time, for her it was confidence."
"returnloop","s4_title","Competitive edge"
"returnloop","s4_grid_h1","Uber"
"returnloop","s4_grid_h2","DoorDash"
"returnloop","s4_grid_h3","ReturnLoop"
"returnloop","s4_grid_r1_c1","Standalone"
"returnloop","s4_grid_r1_c2","Batched"
"returnloop","s4_grid_r1_c3","Standalone"
"returnloop","s4_grid_r2_c1","Photo proof"
"returnloop","s4_grid_r2_c2","Photo proof"
"returnloop","s4_grid_r2_c3","Verification depth"
"returnloop","s4_grid_r3_c1","In-app feature"
"returnloop","s4_grid_r3_c2","In-app tab"
"returnloop","s4_grid_r3_c3","Purpose-built"
"returnloop","s4_takeaway","Neither competitor is built around the sender's experience or offers proof beyond a photo. That's the gap."
"returnloop","s5_title","Insight → decision"
"returnloop","s5_col1","RESEARCH INSIGHT"
"returnloop","s5_col2","DESIGN DECISION"
"returnloop","s5_r1_left","""It just sits there. I'll do it tomorrow."" (Jack)"
"returnloop","s5_r1_right","Flexible pickup window, not instant dispatch"
"returnloop","s5_r2_left","""If I need to print a label, I give up."" (Alex)"
"returnloop","s5_r2_right","Sender scans the digital label / barcode"
"returnloop","s5_r3_left","""Who is this, and did it arrive?"" (nearly everyone)"
"returnloop","s5_r3_right","Live tracking and independent carrier confirmation"
"returnloop","s5_change_title","The Moment the Design Had to Change"
"returnloop","s5_change_body","v1 marked a return complete the instant a driver scanned it; two interview stories proved that wasn't enough, so the flow now waits for carrier confirmation."
"returnloop","s5_change_old","Carrier confirmed"
"returnloop","s5_change_new","FedEx has your package"
"returnloop","s6_title","Personas"
"returnloop","s6_body","Personas were grouped by why people stalled, not by demographics, so each represents a distinct reason the process breaks down."
"returnloop","s7_title","Journey map"
"returnloop","s7_h2","Decide"
"returnloop","s7_h3","Prepare"
"returnloop","s7_h4","Drop-off"
"returnloop","s7_h5","Delay"
"returnloop","s7_h6","Outcome"
"returnloop","s7_r1_c1","Today"
"returnloop","s7_r1_c2","Low urgency"
"returnloop","s7_r1_c3","Prints label, packs"
"returnloop","s7_r1_c4","Carrier closed"
"returnloop","s7_r1_c5","Sits, window ticking"
"returnloop","s7_r1_c6","Makes it or gives up"
"returnloop","s7_r2_c1","ReturnLoop"
"returnloop","s7_r2_c2","Deadline captured"
"returnloop","s7_r2_c3","Scans digital label"
"returnloop","s7_r2_c4","Driver comes to door"
"returnloop","s7_r2_c5","One booking, done"
"returnloop","s7_r2_c6","Refund secured"
"returnloop","s7_caption","Where emotional low points occur and what resolves them."
"returnloop","s8_title","Key screens"
"returnloop","s8_c1","Scanning removes printing (Alex)"
"returnloop","s8_c2","Flexible windows replace instant dispatch (Jack)"
"returnloop","s8_c3","Live tracking gives proof (Saddie)"
"returnloop","s8_c4","Driver chat gives a human channel (Margaret)"
"returnloop","s9_title","Key takeaway"
"returnloop","s9_body1","DoorDash built a return pickup feature in 2023 and none of the participants knew it existed. The problem wasn't a missing feature, it was a missing experience. Uber and DoorDash proved the mechanic works; what they didn't build is the trust."
"returnloop","s9_body2","People don't want a cheaper return — they want one they don't have to think about twice."
"asap","projectName","ASAP"
"asap","projectType","Process Story"
"asap","promiseLine","AI-powered planning app that scaffolds executive function until the student no longer needs it."
"asap","metaRole","Lead Product Designer"
"asap","metaTimeline","3 Months (Fall 2025)"
"asap","metaTeam","[Team TBD]"
"asap","metaTools","[Tools TBD]"
"asap","metaPlatform","[Platform TBD]"
"asap","s1_title","About Project"
"asap","s1_body","ASAP is an AI-powered mobile app designed to help college students build independent planning skills by breaking assignments into manageable steps scaffolding executive function until the student no longer needs the tool."
"asap","s2_title","Problem Statement"
"asap","s2_subtitle","For many students planning was never taught. It was just expected."
"asap","s2_body","When students move from high school to college, three external supports vanish at once: fixed schedules, adult intervention, and peer accountability. The system that managed their behavior was never designed to transfer ownership to them."
"asap","s2_quote","“In high school, 70% of the structure was externally provided. In college I have to do the exact opposite, and I don't know where to begin.”"
"asap","s2_stat1_val","25"
"asap","s2_stat1_lbl","Age when the prefrontal cortex fully matures"
"asap","s2_stat2_val","#1"
"asap","s2_stat2_lbl","EF deficits predict first-year failure"
"asap","s2_stat3_val","3"
"asap","s2_stat3_lbl","Supports lost at once"
"asap","s2_stat4_val","84"
"asap","s2_stat4_lbl","Prototype versions"
"asap","s3_title","How we used AI"
"asap","s3_subtitle","AI accelerated every phase. We directed every decision."
"asap","s3_r1_h1","Research"
"asap","s3_r1_h2","Anara, Google Scholar, NotebookLM"
"asap","s3_r1_c1","What AI gave us:"
"asap","s3_r1_c1b","A map of the problem space in hours. Synthesized root causes of EF deficits."
"asap","s3_r1_c2","What we added:"
"asap","s3_r1_c2b","The judgment to identify which 5 of 15 insights actually mattered for design."
"asap","s3_r1_c3","What AI missed entirely:"
"asap","s3_r1_c3b","Contextual empathy. Data synthesis lacks the nuance of student stress."
"asap","s3_r2_h1","Prototype"
"asap","s3_r2_h2","Figma Make, Claude"
"asap","s3_r2_c1","What AI gave us:"
"asap","s3_r2_c1b","Ideas rendered before we'd fully articulated them. Interactive flows instantly."
"asap","s3_r2_c2","What we added:"
"asap","s3_r2_c2b","The discipline to reject 83 versions and know why 84 was right."
"asap","s3_r2_c3","What AI missed entirely:"
"asap","s3_r2_c3b","Micro-interactions that build habit. It generates screens, not behaviors."
"asap","s3_r3_h1","Testing"
"asap","s3_r3_h2","Claude Opus, synthetic personas"
"asap","s3_r3_c1","What AI gave us:"
"asap","s3_r3_c1b","3 synthetic personas to run heuristic reviews before human testing."
"asap","s3_r3_c2","What we added:"
"asap","s3_r3_c2b","Real human testing that uncovered the psychological weight of UI copy."
"asap","s3_r3_c3","What AI missed entirely:"
"asap","s3_r3_c3b","Emotional variability, mood-based decision-making. That required a real human."
"asap","s3b_title","Lo-fi wireframes"
"asap","s3b_body","The wireframe boards are in the file and they are strong — numbered, state by state, with the AI prompt copy already written in (""not sure where to start? I can help break this into steps""). Show them as boards, not as individual screens: each is a labelled row of three states."
"asap","s3b_c1","Getting in"
"asap","s3b_c2","Home, three states: empty · with task · completed"
"asap","s3b_c3","The breakdown"
"asap","s3b_c4","Breakdown continued"
"asap","s3b_note","Note: The flow was tested across four distinct groups (student, career-changer, ECP, entrepreneur) with 16 boards total."
"asap","s4_title","Solution + screens"
"asap","s4_c1_h","One assignment at a time"
"asap","s4_c1_b","No overwhelming lists. The interface focuses the student entirely on the next immediate action."
"asap","s4_c2_h","AI suggests subtasks with reasons and estimates, student edits freely"
"asap","s4_c2_b","The app breaks down complex assignments, providing estimates and rationale, but the student edits freely."
"asap","s4_c3_h","Focus mode"
"asap","s4_c3_b","Locks everything except the current task to build momentum."
"asap","s4_c4_h","Timer (standard / Pomodoro)"
"asap","s4_c4_b","Keeps track of time spent directly on the active task."
"asap","s4_c5_h","Independence bar"
"asap","s4_c5_b","Visual indicator of progress towards fully independent planning."
"asap","s4_caption","The success of this app is measured by the student needing it less over time."
"asap","s5_title","Competitive analysis"
"asap","s5_body1","Google Calendar, Notion, Todoist, Apple Reminders, Monday.com, and Focus To-Do all sit in that left cluster — different feature sets, same job: hold the list for you, forever. Trevor AI gets closer, coaching and auto-scheduling, but it never lets go of the wheel."
"asap","s5_body2","ASAP is the only one built to work its way out of a job. Every other product wins when you open it again tomorrow. ASAP wins when you don't need to."
"asap","s6_title","User flow"
"asap","s6_caption","One task in, one step out; AI escalates help: clarify → break down → coach only when needed."
"asap","s7_title","Synthetic vs human"
"asap","s7_r1_n","Priya, 19"
"asap","s7_r1_d","First-gen student"
